Departements,Superficie_totale,AOC_blanc,AOC_rougerose,VDP_blanc,VDP_rougerose,Autres_blancs,Autres_rougerose,tot_blanc,tot_rougerose,total_prod
01 AIN,777.9423999999999,13283.930000000002,16607.32,744.54,328.69,4635.04,9520.38,18663.510000000002,26456.39,45119.899999999994
02 AISNE,2428.5932,148045.03,0.0,0.0,0.0,150.1,0.0,148195.13,0.0,148195.13
03 ALLIER,609.5174000000001,6569.56,16065.919999999998,193.0,99.09,354.33,1681.9,7116.89,17846.91,24963.800000000003
04 ALPES-HTE-PR,777.9662000000001,1580.0800000000002,11750.64,2916.39,22628.49,393.28,3270.5,4889.75,37649.630000000005,42539.38
05 ALPES-HAUTES,137.74779999999998,0.0,0.0,1542.35,4029.69,105.22,222.0,1647.57,4251.6900000000005,5899.26
06 ALPES-Mmes,84.2605,576.8,807.5,269.13,756.46,3.45,138.52,849.38,1702.48,2551.8599999999997
07 ARDECHE,10436.2032,10335.169999999998,107084.8,100748.15,396599.38,21764.9,24339.71,132848.22,528023.89,662857.14
09 ARIEGE,63.739999999999995,0.0,0.0,206.0,1929.08,12.13,221.45,218.13,2150.5299999999997,2368.66
10 AUBE,7091.3031,328652.82,0.0,0.0,0.0,62.65,106.57,328715.47000000003,106.57,328822.04
11 AUDE,64370.171200000004,116706.63,610387.3300000001,584107.9399999997,2002883.9700000007,44209.92,172821.15,745024.4899999998,2786092.4500000007,3531155.590000001
12 AVEYRON,454.1189,398.34,12387.92,222.05,1209.8,128.41,1715.4999999999998,748.8,15313.22,16062.019999999999
13 BOUCHES-DU-R,10312.772299999999,19478.28,316745.25999999995,17066.289999999994,208921.97999999998,6831.11,4342.57,43375.67999999999,530009.8099999999,573442.0399999998
14 CALVADOS,4.9,0.0,0.0,73.45,59.5,0.0,0.0,73.45,59.5,132.95
15 CANTAL,7.5805,18.4,72.8,23.4,49.5,2.4,8.0,44.199999999999996,130.3,174.5
16 CHARENTE,39155.422099999996,4061.91,3599.96,6269.99,16449.99,10810.92,16881.32,21142.82,36931.270000000004,3664917.1599999997
17 CHARENTE-MAR,38924.30410000001,35513.89,36666.82,27030.08,46780.74,53481.39,32448.97,116025.36,115896.53,4152625.85
18 CHER,4169.5045,162136.72999999998,37394.17,1118.58,1403.06,181.1,478.51,163436.40999999997,39275.74,202712.15
19 CORREZE,127.4322,0.0,0.0,675.81,1602.8,16.0,1028.7,691.81,2631.5,3323.3099999999995
21 COTE D'OR,9669.491500000002,105022.05000000002,164671.10999999993,124.70000000000002,186.42,361.62,354.46000000000004,105508.37000000001,165211.98999999993,270777.0599999999
24 DORDOGNE,11514.427599999999,202924.47,316928.41000000003,5322.83,26690.06,14815.16,34215.270000000004,223062.46,377833.74000000005,612239.33
25 DOUBS,76.8496,0.0,0.0,150.3,42.0,624.87,609.0600000000001,775.1700000000001,651.0600000000001,1426.2300000000002
26 DROME,16040.7866,120274.57,524736.5199999999,19458.4,125141.09000000001,2171.35,16290.42,141904.32,666168.0299999999,817872.5699999998
28 EURE-ET-LOIR,0.1,0.0,0.0,0.0,0.0,0.0,6.6,0.0,6.6,6.6
2A CORSE SUD,875.1559,4808.81,23735.18,596.5,4903.5,624.6,2830.3,6029.910000000001,31468.98,37498.89000000001
2B CORSE(HTE),4973.5197,14302.76,70891.11000000002,23741.12,209963.81,8412.68,13997.03,46456.56,294851.95000000007,341308.51
30 GARD,52490.5387,57160.38,845259.1900000001,399407.69,1816935.8700000003,40353.92,213577.72999999998,496921.99,2875772.7900000005,3381878.3400000003
31 GARONNE(HTE),1492.3053,0.0,44288.75,675.5,40324.91,356.9,7976.639999999999,1032.4,92590.3,93622.7
32 GERS,18172.3389,20603.27,79948.91,911387.5,186055.51,500707.28,36010.55,1432698.05,302014.97000000003,1893399.66
33 GIRONDE,114074.2247,655636.7699999999,5142964.349999999,8874.699999999999,17195.68,38169.04,240766.75,702680.5099999999,5400926.779999998,6340333.1099999985
34 HERAULT,81058.6513,132650.93,454600.61,941724.6200000003,2693952.8800000004,61526.87,246512.49000000002,1135902.4200000004,3395065.9800000004,4530968.400000001
36 INDRE,536.475,8045.05,5721.49,3400.76,2613.7,457.45,2279.84,11903.260000000002,10615.029999999999,22518.290000000005
37 INDRE-ET-L,9608.725900000001,125245.63,148055.08000000002,1584.84,1930.42,7567.08,11542.64,134397.55,161528.14,295934.69000000006
38 ISERE,416.78729999999996,8614.81,808.06,1042.54,1884.67,1877.2,4435.419999999999,11534.55,7128.15,18722.640000000003
39 JURA,3377.4987,63310.53999999999,23253.86,202.0,83.0,3784.6,2503.63,67297.14,25840.49,93137.63
40 LANDES,1636.9756,3017.24,15101.78,32971.13,16877.82,34497.509999999995,4072.73,70485.87999999999,36052.33,138248.88999999998
41 LOIR-ET-CHER,6389.5593,145601.83000000002,72132.86000000002,21127.49,13123.49,6601.72,11626.52,173331.04,96882.87000000002,270291.62000000005
42 LOIRE,984.6751999999999,6733.32,19064.289999999997,4497.95,7541.09,2488.82,4854.29,13720.09,31459.67,45179.76
43 LOIRE(HAUTE),11.9598,0.0,0.0,0.0,0.0,18.8,133.57,18.8,133.57,152.37
44 LOIRE ATLAN,11056.8993,237500.5,2995.71,40228.99,36655.71,21528.859999999997,28854.48,299258.35,68505.9,367764.25
45 LOIRET,138.0694,1046.42,1189.72,35.0,149.85999999999999,32.1,204.19,1113.52,1543.77,2657.2900000000004
46 LOT,4812.3902,0.0,144608.03999999998,3075.61,69491.61,565.3100000000001,15196.56,3640.92,229296.20999999996,233657.14999999994
47 LOT-ET-GAR,5913.7253,31246.89,219213.78000000003,55974.22,36841.37,32322.18,33060.08,119543.29000000001,289115.23000000004,413116.42000000004
48 LOZERE,10.9412,0.0,0.0,100.2,192.9,1.0,5.5,101.2,198.4,299.6
49 MAINE-ET-L,19292.051,260957.59000000005,614507.2,36572.96,19729.120000000003,17667.05,26584.730000000003,315197.60000000003,660821.0499999999,976018.65
51 MARNE,23424.1221,1449089.2,0.0,0.0,0.0,7.4,12.0,1449096.5999999999,12.0,1449108.6
52 MARNE(HAUTE),103.7639,1966.25,0.0,431.15,326.0,284.5,284.36,2681.9,610.36,3292.26
53 MAYENNE,1.4,0.0,0.0,0.0,0.0,44.9,0.0,44.9,0.0,44.9
54 MEURTHE-&-M,109.55160000000001,677.31,2787.95,0.0,0.0,983.04,794.9599999999999,1660.35,3582.91,5243.259999999999
55 MEUSE,39.0693,0.0,0.0,927.8,857.15,389.7,12.55,1317.5,869.6999999999999,2187.2
57 MOSELLE,97.87039999999999,883.6,616.18,0.0,0.0,913.2,128.26,1796.8000000000002,744.4399999999999,2541.2400000000002
58 NIEVRE,1520.2205000000001,53712.15,841.75,543.4,389.14,134.22,188.75,54389.770000000004,1419.6399999999999,55809.41
59 NORD,0.65,0.0,0.0,0.0,0.0,0.0,2.9,0.0,2.9,2.9
60 OISE,0.2525,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0
62 PAS-DE-CALAIS,0.30000000000000004,0.0,0.0,0.0,0.0,4.2,0.0,4.2,0.0,4.2
63 PUY-DE-DOME,439.1309,1307.53,9648.12,531.47,2432.4399999999996,253.95,2090.4,2092.95,14170.960000000001,16263.910000000002
64 PYRENEES-AT,2493.0710999999997,63391.420000000006,42085.49,464.94,2253.8,919.6500000000001,2757.07,64776.01000000001,47096.36,111872.37000000001
65 PYRENEES(HTE),461.8576,1283.78,8633.2,221.28,996.99,52.7,592.5,1557.76,10222.69,11780.450000000003
66 PYRENEES-OR,25720.618899999998,82920.09,267981.48,66675.71000000002,228788.64,5543.82,9029.94,155139.62000000002,505800.06,660939.6799999999
67 RHIN(BAS),6615.1147,480118.66,28614.24,0.0,0.0,789.13,46.77,480907.79,28661.010000000002,509568.8
68 RHIN (HAUT),8915.7324,632703.7200000003,42635.21,0.0,0.0,962.15,20.05,633665.8700000003,42655.26,676321.1300000005
69 RHONE,16703.7113,101233.73,673226.61,1780.5999999999997,5888.27,3530.8900000000003,19743.63,106545.22,698858.51,809664.81
70 SAONE(HAUTE),1243.0432,0.0,0.0,780.86,861.2600000000001,273.81,257.81,1054.67,1119.0700000000002,2173.7400000000002
71 SAONE-ET-L,12863.995200000001,511974.2400000004,198891.99999999994,128.16,127.68,1971.64,1319.82,514074.0400000004,200339.49999999994,735117.4400000005
72 SARTHE,191.74190000000002,1955.32,797.99,13.0,158.5,255.45999999999998,335.29,2223.7799999999997,1291.78,3515.56
73 SAVOIE,1878.2255,73424.20000000001,31501.87,4223.09,1391.87,3369.06,2275.81,81016.35,35169.549999999996,117178.90999999999
74 SAVOIE(HTE),241.94729999999998,6400.769999999999,981.33,573.9,89.0,3883.67,2130.61,10858.339999999998,3200.94,14071.28
77 SEINE ET MARNE,21.6208,1395.38,0.0,0.0,0.0,0.0,0.0,1395.38,0.0,1395.38
79 SEVRES(DEUX),803.7813000000001,13459.810000000001,26903.8,1509.08,644.3800000000001,748.25,2390.94,15717.140000000001,29939.12,45656.26
81 TARN,6547.152599999999,49351.55999999999,112952.13,52623.72,166352.77000000002,28573.69,66267.52,130548.97,345572.42000000004,476121.39
82 TARN-ET-G,1497.1505,0.0,42046.93,2398.69,37621.39,381.0,21992.86,2779.69,101661.18000000001,104440.87000000001
83 VAR,27933.8829,41171.79,1006901.18,25831.299999999996,319796.6699999999,2805.68,19242.3,69808.76999999999,1345940.1500000001,1416479.67
84 VAUCLUSE,50316.460999999996,89068.23999999998,1387689.8200000005,75739.85000000002,490192.9100000001,9782.619999999999,73690.25,174590.71,1951572.9800000007,2144396.860000001
85 VENDEE,976.9294,4969.99,12601.559999999998,3269.82,7357.83,1253.4099999999999,5412.05,9493.22,25371.44,34864.659999999996
86 VIENNE,1223.6586,14676.5,13104.75,15904.939999999999,6655.15,2858.22,3488.8500000000004,33439.659999999996,23248.75,56688.41
87 VIENNE(HTE),6.642,0.0,0.0,2.0,84.0,4.0,4.0,6.0,88.0,94.0
88 VOSGES,8.5416,0.0,0.0,0.0,0.0,3.14,70.76,3.14,70.76,73.9
89 YONNE,7513.588100000001,189361.97999999995,14710.77,91.05,50.02,169.61,316.51,189622.63999999993,15077.300000000001,205464.9599999999
