Departements,Superficie_totale,AOC_blanc,AOC_rougerose,VDP_blanc,VDP_rougerose,Autres_blancs,Autres_rougerose,tot_blanc,tot_rougerose,total_prod
34 HERAULT,80690.33049999997,150282.53999999998,470364.38,1009247.8999999998,2838426.8899999987,97970.19999999998,361841.43000000005,1257500.6399999997,3670632.699999999,4928133.339999998
36 INDRE,534.7868000000001,12180.980000000001,8639.619999999999,4022.9799999999996,2642.98,1916.3,5173.9400000000005,18120.260000000002,16456.54,34977.86
37 INDRE-ET-LOIRE,9686.859300000006,198477.42000000004,278953.13999999996,3277.4799999999996,4592.73,19208.6,34737.71,220963.50000000006,318283.57999999996,564380.04
38 ISERE,284.5127,7960.96,883.6899999999999,1542.8199999999997,2288.4,1762.0,769.11,11265.779999999999,3941.2000000000003,15335.239999999998
39 JURA,2051.3197,96578.46999999999,27035.83,566.4,167.0,1802.5100000000002,1462.62,98947.37999999998,28665.45,127612.82999999999
40 LANDES,1603.6501999999998,1814.62,10191.599999999999,33367.85,12089.580000000002,36163.59,1631.71,71346.06,23912.89,128254.63999999998
41 LOIR-ET-CHER,6526.510199999999,184512.00999999998,99253.76999999999,38286.27,17108.44,31996.819999999996,35686.04,254795.09999999998,152048.25,415005.14
42 LOIRE,948.2129999999999,7344.65,20609.399999999998,5597.290000000001,6893.37,1927.58,2588.26,14869.52,30091.03,44960.55
43 HAUTE-LOIRE,1.6859000000000002,0.0,0.0,0.0,0.0,8.5,22.7,8.5,22.7,31.2
44 LOIRE-ATLANTIQUE,10814.8505,421115.24,3377.19,73575.43,46242.729999999996,162627.25,76591.52,657317.9199999999,126211.44,819156.99
45 LOIRET,115.7955,1837.36,2501.13,51.0,93.98,94.1,469.63,1982.4599999999998,3064.7400000000002,5047.2
46 LOT,4846.6432,0.0,161322.83,4921.889999999999,87845.18999999999,738.75,17998.87,5660.639999999999,267166.88999999996,276918.36
47 LOT-ET-GARONNE,5923.9677999999985,30637.98,189662.03999999998,50763.92,32465.660000000003,35311.51,21304.22,116713.41,243431.91999999998,368212.79999999993
48 LOZERE,9.591700000000001,0.0,0.0,72.52,164.3,10.82,3.45,83.34,167.75,251.08999999999997
49 MAINE-ET-LOIRE,19459.351999999995,336018.01999999996,664690.82,53418.780000000006,25180.440000000002,45207.04,65668.19,434643.83999999997,755539.45,1219813.76
51 MARNE,23823.5819,1829049.08,0.0,0.0,0.0,0.0,0.0,1829049.08,0.0,1829049.08
52 HAUTE-MARNE,90.4148,3930.85,0.0,873.78,1054.88,792.14,118.65,5596.77,1173.5300000000002,6770.299999999999
53 MAYENNE,0.6000000000000001,0.0,0.0,0.0,0.0,34.0,9.0,34.0,9.0,43.0
54 MEURTHE-ET-MOSELLE,109.4982,1089.82,3120.91,0.0,0.0,873.5999999999999,1268.6399999999999,1963.4199999999998,4389.549999999999,6352.969999999999
55 MEUSE,41.219300000000004,0.0,0.0,921.95,838.85,812.8,417.3,1734.75,1256.15,2990.9000000000005
57 MOSELLE,95.6255,1062.1599999999999,819.12,0.0,0.0,1750.84,346.2,2813.0,1165.32,3978.32
58 NIEVRE,1532.1890000000003,85340.97000000002,2920.71,3580.4100000000003,1905.72,195.87,320.94,89117.25000000001,5147.37,94264.62000000001
62 PAS-DE-CALAIS,0.30000000000000004,0.0,0.0,0.0,0.0,7.3,0.0,7.3,0.0,7.3
63 PUY-DE-DOME,405.4442,1938.97,10988.75,692.83,2878.07,362.54,1603.8900000000003,2994.34,15470.71,18465.050000000003
64 PYRENEES-ATLANTIQUES,2499.4839,59696.71,35451.26,686.46,1229.78,734.95,1962.84,61118.119999999995,38643.88,99762.0
65 HAUTES-PYRENEES,237.37170000000003,1398.27,7262.75,549.1800000000001,689.14,3.7,93.0,1951.15,8044.89,9996.040000000003
66 PYRENEES-ORIENTALES,21083.631200000003,89374.87000000001,332039.80000000005,79357.4,199195.82,7786.64,18069.54,176518.91000000003,549305.1600000001,725824.07
67 BAS-RHIN,6719.418900000001,492662.88999999996,30343.410000000003,0.0,0.0,1033.28,164.17000000000002,493696.17,30507.58,536523.0299999999
68 HAUT-RHIN,8993.938899999997,636522.7100000003,45313.54,0.0,0.0,1334.93,125.55,637857.6400000004,45439.090000000004,698666.7100000003
69 RHONE,16042.269000000002,127417.5,752732.8899999999,2073.73,4669.93,4658.88,24763.249999999996,134150.11,782166.07,918769.93
70 HAUTE-SAONE,85.8407,0.0,0.0,2190.82,1792.9,278.6,511.61,2469.42,2304.51,4773.93
71 SAONE-ET-LOIRE,13014.673699999996,571051.0599999998,224714.99999999997,298.82,366.38,3087.25,1384.92,574437.1299999998,226466.3,826867.2199999997
72 SARTHE,189.4426,4146.72,1994.03,67.3,401.35,523.79,799.05,4737.81,3194.4300000000003,7932.24
73 SAVOIE,1945.4379,75449.09,33453.93,4803.8099999999995,1701.51,5947.8,2380.48,86200.7,37535.920000000006,126658.67000000001
74 HAUTE-SAVOIE,233.9169,5312.94,888.8199999999999,541.3,86.0,3408.6500000000005,2175.45,9262.89,3150.2699999999995,12413.16
77 SEINE-ET-MARNE,29.8993,2631.98,0.0,0.0,0.0,0.0,0.0,2631.98,0.0,2631.98
79 DEUX-SEVRES,763.3123999999999,12642.8,30456.19,2474.84,910.05,1209.62,846.8100000000001,16327.259999999998,32213.05,50542.649999999994
81 TARN,6489.3886,34743.63999999999,105151.65999999999,55322.52,177060.44,17830.32,45731.509999999995,107896.47999999998,327943.61,435840.09
82 TARN-ET-GARONNE,1480.4714,0.0,33918.020000000004,2071.01,41425.270000000004,557.95,9351.85,2628.96,84695.14000000001,87324.1
83 VAR,27835.048400000007,38559.25,925250.4500000001,20072.739999999998,226134.16,1376.6799999999998,12009.96,60008.67,1163394.57,1223822.17
84 VAUCLUSE,45904.71249999999,87688.94,1183986.97,60290.10999999999,430042.14999999997,8495.95,28171.129999999997,156475.0,1642200.2499999998,1810978.51
85 VENDEE,923.8978,10719.86,17922.64,6542.719999999999,13014.7,3101.3,4482.49,20363.88,35419.83,55783.71000000001
86 VIENNE,1109.5991999999999,20066.32,15380.749999999998,19980.65,9686.449999999999,3068.66,3285.79,43115.630000000005,28352.989999999998,71593.67
87 HAUTE-VIENNE,6.459300000000001,0.0,0.0,34.0,180.0,13.0,1.0,47.0,181.0,228.0
88 VOSGES,4.54,0.0,0.0,0.0,0.0,0.0,292.01,0.0,292.01,292.01
89 YONNE,7762.530099999997,429154.0699999999,42533.7,833.8499999999999,150.8,1015.35,1069.15,431003.26999999984,43753.65,529829.9999999999
95 VAL-D’OISE,0.030500000000000003,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
