Departements,Superficie_totale,AOC_blanc,AOC_rougerose,VDP_blanc,VDP_rougerose,Autres_blancs,Autres_rougerose,tot_blanc,tot_rougerose,total_prod
01 AIN,734.656,13672.370000000003,17758.37,1445.96,292.68000000000006,5038.55,8689.33,20156.88,26740.379999999997,46897.26
02 AISNE,2490.8478999999998,204785.21,0.0,0.0,0.0,410.5,0.0,205195.71,0.0,205195.71
03 ALLIER,597.8801,8142.96,19092.64,811.39,359.87,604.21,639.76,9558.560000000001,20092.269999999997,29650.829999999994
04 ALPES DE HAUTES-PROVENCE,694.8323999999999,1471.69,9842.3,2921.23,20089.329999999998,397.61,2517.3,4790.53,32448.929999999997,37239.46000000001
05 HAUTES-ALPES,111.78079999999999,0.0,0.0,1473.89,3517.42,72.69,26.0,1546.5800000000002,3543.42,5090.0
06 ALPES-MARITIMES,77.876,407.18,555.98,195.5,746.05,0.0,2.0,602.6800000000001,1304.03,1906.7100000000003
07 ARDECHE,10231.5193,10340.460000000001,101058.21000000002,91248.15,321989.41,14078.11,11097.619999999999,115666.72,434145.24,551714.5499999999
09 ARIEGE,64.1369,0.0,0.0,98.78,994.96,5.07,42.14,103.85,1037.1000000000001,1140.95
10 AUBE,7165.795,613628.92,0.0,0.0,0.0,4.0,0.0,613632.92,0.0,613632.92
11 AUDE,64220.047000000006,103732.02,678708.2999999999,580587.5599999998,1894082.64,48691.05,193087.07,733010.6299999999,2765878.01,3498888.6399999997
12 AVEYRON,400.6292,385.49,11257.909999999998,341.74,1112.58,69.6,739.96,796.83,13110.449999999997,13907.279999999997
13 BOUCHES-DU-RHONE,10594.917399999998,21723.57,329324.17000000004,18349.5,264974.01,1906.85,9605.18,41979.92,603903.3600000001,645944.9999999999
14 CALVADOS,6.6,0.0,0.0,103.85,111.5,3.6,0.0,107.44999999999999,111.5,218.95
15 CANTAL,8.680600000000002,18.6,68.7,83.0,128.39999999999998,4.6,0.0,106.19999999999999,197.09999999999997,303.3
16 CHARENTE,39986.1729,2698.35,2496.64,5074.13,15464.36,16458.97,12281.99,24231.45,30242.989999999998,5093179.6899999995
17 CHARENTE-MARITIME,39783.5386,21034.59,28500.77,28654.399999999994,56568.24999999999,57680.20999999999,23590.25,107369.19999999998,108659.26999999999,4825357.5
18 CHER,4284.881300000001,211765.73,50762.06,2083.0299999999997,1309.08,531.37,971.1,214380.13,53042.24,270700.08
19 CORREZE,74.2563,401.45,344.88,259.2,1549.7300000000002,8.6,199.62,669.25,2094.23,2763.4799999999996
21 COTE-D'OR,9520.133100000012,209966.19000000006,283818.57999999984,703.75,676.89,1321.1899999999998,1076.54,211991.13000000006,285572.00999999983,498895.9199999999
23 CREUSE,1.0002,0.0,0.0,0.0,0.0,5.0,8.0,5.0,8.0,13.0
24 DORDOGNE,11110.1501,188954.54,273100.5,7512.66,22986.019999999997,11521.519999999999,14747.449999999999,207988.72,310833.97000000003,532981.36
25 DOUBS,15.747399999999999,0.0,0.0,321.5,92.0,184.12,42.0,505.62,134.0,639.62
26 DROME,15913.961399999998,124861.85,446163.7899999999,16933.53,93502.34,1691.49,4118.1900000000005,143486.87,543784.3199999998,693664.0999999997
2A CORSE-DU-SUD,905.2738,4661.99,19806.21,1148.5,5927.7,972.45,3375.4700000000003,6782.94,29109.38,35892.32
2B HAUTE-CORSE,4978.7824,13733.340000000002,69562.7,26044.74,203335.07,9151.140000000001,9442.45,48929.22,282340.22000000003,331269.44
30 GARD,52993.9298,60880.07,806378.4100000001,377761.89,1725862.51,36937.94,218004.57999999996,475579.9,2750245.5,3235791.33
31 HAUTE-GARONNE,1323.5809,0.0,33390.6,537.05,30538.870000000003,214.48,2060.67,751.53,65990.14,66741.67
32 GERS,18952.7101,20150.68,72996.76,902363.81,172727.90999999997,552494.78,30315.32,1475009.27,276039.99,1908113.3
33 GIRONDE,114615.04589999997,584106.2700000001,4457629.120000001,5942.08,16212.71,25577.71,89970.58,615626.06,4563812.410000001,5400424.300000002
