Departements,Superficie_totale,AOC,VDQS,Cognac,AOC_blanc,AOC_rougerose,VDQS_blanc,VDQS_rougerose,Cognac.1,VDP_blanc,VDP_rougerose,Autres_blancs,Autres_rougerose,tot_blanc,tot_rougerose,total_prod
49 MAINE-ET-L,17708.0,17481.0,227.0,,299142.0,682530.0,12199.0,3717.0,,54311.0,34388.0,13465.0,31653.0,379117.0,752288.0,1131405.0
50 MANCHE,0.0,,,,,,,,,,,0.0,0.0,,,
51 MARNE,23775.0,23775.0,,,1892123.0,,,,,,,182643.0,89.0,2074766.0,89.0,2074855.0
52 MARNE(HAUTE),33.0,33.0,,,2507.0,,,,,,,504.0,1026.0,3011.0,1026.0,4037.0
53 MAYENNE,0.0,,,,,,,,,21.0,,16.0,20.0,37.0,20.0,57.0
54 MEURTHE-&-M,63.0,63.0,,,486.0,2220.0,,,,,,277.0,1438.0,763.0,3658.0,4421.0
55 MEUSE,0.0,,,,,,,,,735.0,731.0,170.0,112.0,905.0,843.0,1748.0
56 MORBIHAN,0.0,,,,,,,,,,,0.0,0.0,,,
57 MOSELLE,7.0,,7.0,,,,112.0,95.0,,,,140.0,375.0,252.0,470.0,722.0
58 NIEVRE,1322.0,1322.0,,,58936.0,1612.0,,,,1848.0,1378.0,452.0,1383.0,61236.0,4373.0,65609.0
59 NORD,0.0,,,,,,,,,,,6.0,0.0,6.0,,6.0
60 OISE,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
61 ORNE,0.0,,,,,,,,,,,0.0,0.0,,,
62 PAS-DE-CAL,0.0,,,,,,,,,,,0.0,0.0,,,
63 PUY-DE-DOME,257.0,,257.0,,,,1257.0,9295.0,,561.0,3404.0,385.0,8127.0,2203.0,20826.0,23029.0
64 PYRENEES-AT,2273.0,2272.0,1.0,,40226.0,45841.0,,14.0,,463.0,810.0,667.0,3864.0,41356.0,50529.0,91885.0
65 PYRENEES(HTE),220.0,209.0,11.0,,894.0,8850.0,,682.0,,11.0,2046.0,270.0,3649.0,1175.0,15227.0,16402.0
66 PYRENEES-OR,19774.0,19774.0,,,203626.0,282745.0,,,,55464.0,183756.0,4401.0,24424.0,263491.0,490925.0,754416.0
67 RHIN(BAS),6810.0,6810.0,,,494942.0,29519.0,,,,,,20541.0,948.0,515483.0,30467.0,545950.0
68 RHIN (HAUT),9013.0,9013.0,,,624002.0,43202.0,,,,,,25430.0,1243.0,649432.0,44445.0,693877.0
69 RHONE,18187.0,18187.0,,,33727.0,797875.0,,,,505.0,2882.0,2671.0,19512.0,36903.0,820269.0,857172.0
70 SAONE(HAUTE),0.0,,,,,,,,,1771.0,2060.0,347.0,980.0,2118.0,3040.0,5158.0
71 SAONE-ET-L,12871.0,12871.0,,,516193.0,239047.0,,,,378.0,192.0,17497.0,6285.0,534068.0,245524.0,779592.0
72 SARTHE,146.0,146.0,,,4310.0,1569.0,,,,37.0,288.0,991.0,2648.0,5338.0,4505.0,9843.0
73 SAVOIE,1757.0,1757.0,,,71773.0,32394.0,,,,4453.0,844.0,4846.0,6261.0,81072.0,39499.0,120571.0
74 SAVOIE(HTE),141.0,141.0,,,6595.0,687.0,,,,352.0,79.0,4895.0,2029.0,11842.0,2795.0,14637.0
75 PARIS,0.0,,,,,,,,,,,0.0,0.0,,,
76 SEINE-MAR,0.0,,,,,,,,,,,0.0,0.0,,,
77 SEINE ET MARNE,21.0,21.0,,,1451.0,,,,,,,62.0,0.0,1513.0,,1513.0
78 YVELINES,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
79 SEVRES(DEUX),664.0,633.0,31.0,,13265.0,27006.0,1068.0,958.0,,728.0,316.0,1290.0,11380.0,16351.0,39660.0,56011.0
80 SOMME,0.0,,,,,,,,,,,0.0,0.0,,,
81 TARN,3597.0,3597.0,,,50975.0,107862.0,,,,43351.0,143714.0,8971.0,36623.0,103297.0,288199.0,391496.0
82 TARN-ET-G,836.0,541.0,295.0,,,25910.0,,14731.0,,2381.0,32004.0,538.0,20911.0,2919.0,93556.0,96475.0
83 VAR,22362.0,22362.0,,,33187.0,958110.0,,,,27537.0,319513.0,4511.0,28953.0,65235.0,1306576.0,1371811.0
84 VAUCLUSE,38835.0,38835.0,,,85428.0,1332973.0,,,,80541.0,401131.0,29897.0,80391.0,195866.0,1814495.0,2010361.0
85 VENDEE,540.0,57.0,483.0,,3258.0,,5127.0,23576.0,,4708.0,10115.0,4245.0,28971.0,17338.0,62662.0,80000.0
86 VIENNE,709.0,440.0,269.0,,13139.0,14560.0,9012.0,7810.0,,16701.0,9854.0,5829.0,14949.0,44681.0,47173.0,91854.0
87 VIENNE(HTE),0.0,,,,,,,,,,138.0,0.0,36.0,0.0,174.0,174.0
88 VOSGES,0.0,,,,,,,,,,,17.0,1173.0,17.0,1173.0,1190.0
89 YONNE,6699.0,6699.0,,,361286.0,33016.0,,,,239.0,231.0,27345.0,3110.0,388870.0,36357.0,425227.0
90 T. de BELFORT,0.0,,,,,,,,,,,5.0,0.0,5.0,,5.0
TOTAUX,541583.0,465640.0,4590.0,71353.0,8091508.0,14476762.0,125067.0,153955.0,7207861.0,2954999.0,9565582.0,2184976.0,1981708.0,20564411.0,26178007.0,46742418.0
