Departements,Superficie_totale,AOC_blanc,AOC_rougerose,VDP_blanc,VDP_rougerose,Autres_blancs,Autres_rougerose,tot_blanc,tot_rougerose,total_prod
01 AIN,771.4141,12904.07,15493.02,519.3,214.88,3426.8,9199.51,16850.17,24907.41,41757.58
02 AISNE,2498.7228,189982.57,0.0,0.0,0.0,388.12,14.44,190370.69,14.44,190385.13
03 ALLIER,642.738,6549.06,16862.5,1.0,81.37,641.27,2771.75,7191.33,19715.62,26906.95
04 ALPES-HTE-PR,687.7054,1444.03,12919.09,3676.25,20364.420000000002,469.23,6885.5599999999995,5589.51,40169.07,45758.58
05 ALPES-HAUTES,130.31799999999998,0.0,0.0,1029.2,3244.04,47.77,346.07,1076.97,3590.11,4667.08
06 ALPES-Mmes,85.0596,605.45,864.25,206.2,746.15,23.8,317.53,835.45,1927.93,2763.3800000000006
07 ARDECHE,10564.345500000001,8191.96,103383.0,89392.49,372111.45,13946.48,21653.21,111530.93000000001,497147.66000000003,608678.5900000001
08 ARDENNES,1.0,0.0,0.0,0.0,0.0,19.7,4.7,19.7,4.7,24.4
09 ARIEGE,102.96549999999999,0.0,0.0,192.0,1783.0,3.07,277.36,195.07,2060.36,2255.43
10 AUBE,7187.3553999999995,553782.2,0.0,0.0,0.0,358.45,662.77,554140.6499999999,662.77,554803.4199999999
11 AUDE,64773.873999999996,110075.49,652330.88,471598.22,2058686.5100000002,42408.98,233364.96,624082.69,2944382.35,3568465.04
12 AVEYRON,615.5192999999999,444.29,11673.73,171.15,1141.66,152.47,3971.27,767.9100000000001,16786.66,17554.57
13 BOUCHES-DU-R,10042.7484,18340.37,338796.07,12850.8,249483.53000000003,7864.8,20540.5,39055.97,608820.1000000001,649353.1200000001
14 CALVADOS,5.8055,0.0,0.0,126.45,83.0,1.0,0.0,127.45,83.0,210.45
15 CANTAL,10.4115,14.5,69.2,40.9,104.75,5.4,42.3,60.8,216.25,277.05
16 CHARENTE,39208.085399999996,3405.37,4302.69,6604.86,19606.08,8925.3,25671.95,18935.53,49580.72,4303986.89
17 CHARENTE-MAR,38742.06799999999,30964.22,33099.6,32704.07,44213.21,34138.27,37626.26,97806.56,114939.07,4290549.18
18 CHER,4139.3393,193484.58,50201.45,1781.65,1059.88,569.95,1566.54,195836.18,52827.869999999995,250108.71000000002
19 CORREZE,179.0543,0.0,0.0,613.24,1962.84,27.5,2021.01,640.74,3983.85,4624.589999999999
2A CORSE SUD,842.0971000000001,3795.47,21668.3,502.0,3890.25,309.9,3366.21,4607.369999999999,28924.76,33532.13
2B CORSE(HTE),5102.6873,13035.35,74437.14,25930.45,195514.46999999997,4813.51,6945.74,43779.310000000005,276897.35,320676.66
21 COTE D'OR,9530.110700000001,160209.06,251269.27,559.49,537.44,935.34,1429.1000000000001,161703.88999999998,253235.81,415387.56999999995
24 DORDOGNE,11721.641999999998,174497.75,301404.45,2859.48,12004.48,4672.46,15953.349999999999,182029.69,329362.27999999997,513576.33999999997
25 DOUBS,27.438000000000002,0.0,0.0,196.3,38.9,324.23,320.93,520.53,359.83,880.36
26 DROME,16129.725000000002,120299.03,527989.3,15869.87,143401.85,851.86,15227.9,137020.75999999998,686619.05,823639.81
28 EURE-ET-LOIR,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0
